"neuron";"scanned.paper.id";"neuromorpho.name";"species";"area";"layer";"rotated";"archive";"original.type";"paper"
1;"kisvarday1986fig2N7";"";"Monkey";"Visual";"IV";FALSE;NA;NA;NA
2;"";"2001-11-09-B-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
3;"";"020801-2-ST";"Mouse";"Visual";"V";FALSE;"Yuste";"Somatostatin (SOM) containing cell";"Correlation between axonal morphologies and synaptic input kinetics of interneurons from mouse visual cortex"
4;"";"C130897B-I1";"Rat";"Somatosensory";"IV";FALSE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
5;"";"2004-02-12-C-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
6;"kisvarday1986fig2N3";"";"Monkey";"Visual";"IV";FALSE;NA;NA;NA
7;"";"RosaA262A";"Mouse";"Visual";"not reported";FALSE;"Yuste";"Not reported";"Attractor dynamics of network UP states in the neocortex"
8;"";"C150501A-I3";"Rat";"Somatosensory";"V";FALSE;"Markram";"Martinotti cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
9;"";"07-07-00-3mediumarbor";"Monkey";"Prefrontal";"II/III";FALSE;NA;NA;NA
10;"";"C060400B2";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Double bouquet cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
11;"";"2004-02-12-B-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
12;"";"03-27-01-3wideArbor";"Monkey";"Prefrontal";"II/III";FALSE;"Gonzalez-Burgos";"Basket cell";"Cluster analysis-based physiological classification and morphological properties of inhibitory neurons in layers 2-3 of monkey dorsolateral prefrontal cortex"
13;"";"2002-11-27-A-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
14;"lund1991fig4N3";"";"Monkey";"Visual";"III";FALSE;NA;NA;NA
15;"";"JM092503-10-2";"Mouse";"Somatosensory";"IV";FALSE;"Yuste";"Not reported";"Internal dynamics determine the cortical response to thalamic stimulation"
16;"";"030224-4-PV";"Mouse";"Visual";"not reported";FALSE;"Yuste";"Parvalbumin (PV) containing cell";"Correlation between axonal morphologies and synaptic input kinetics of interneurons from mouse visual cortex"
17;"";"C230998C-I4";"Rat";"Somatosensory";"IV";FALSE;"Markram";"Martinotti cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
18;"";"2001-10-04-A-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
19;"";"2002-12-09-B-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
20;"";"C070301B2";"Rat";"Somatosensory";"VI";FALSE;"Markram";"Martinotti cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
21;"";"2001-10-11-C-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
22;"lund1993fig15N1";"";"Monkey";"Prefrontal";"II";FALSE;NA;NA;NA
23;"";"C181000A-I3";"Rat";"Somatosensory";"IV";FALSE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
24;"";"020621-1-NPY";"Mouse";"Visual";"V";FALSE;"Yuste";"Neuropeptide Y (NPY) containing cell";"Correlation between axonal morphologies and synaptic input kinetics of interneurons from mouse visual cortex"
25;"";"2002-03-26-A-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
26;"";"C250298A-I4";"Rat";"Somatosensory";"IV";FALSE;"Markram";"Bitufted cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
27;"lewis1990fig5N1";"";"Monkey";"Prefrontal";"IV";FALSE;NA;NA;NA
28;"lund1987fig12N1";"";"Monkey";"Visual";"V";FALSE;NA;NA;NA
29;"";"C170998D-I4";"Rat";"Somatosensory";"II/III";TRUE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
30;"";"JMn020305-20-1";"Mouse";"Somatosensory";"IV";FALSE;"Yuste";"Not reported";"Internal dynamics determine the cortical response to thalamic stimulation"
31;"";"C180298A-I4";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
32;"";"GA01919c1n2";"Mouse";"Somatosensory";"IV";FALSE;"Yuste";"Not reported";"Internal dynamics determine the cortical response to thalamic stimulation"
33;"lund1993fig10N1";"";"Monkey";"Prefrontal";"III";FALSE;NA;NA;NA
34;"";"BW042905-10";"Mouse";"Visual";"V";FALSE;"Yuste";"Not reported";"Modular propagation of epileptiform activity: evidence for an inhibitory veto in neocortex"
35;"";"C170897A-I1";"Rat";"Somatosensory";"IV";TRUE;"Markram";"Basket cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
36;"CCfig19N1";"";"Cat";"Auditory";"IV";FALSE;NA;NA;NA
37;"kisvarday1986fig2N5";"";"Monkey";"Visual";"IV";FALSE;NA;NA;NA
38;"CCfig5N2";"";"Human";"Somatosensory";"III";FALSE;NA;NA;NA
39;"";"2003-12-03-B2-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
40;"";"C050398B-I3";"Rat";"Somatosensory";"II/III";FALSE;"Markram";"Martinotti cell";"Anatomical, physiological, molecular and circuit properties of nest basket cells in the developing somatosensory cortex"
41;"lund1987fig14N1";"";"Monkey";"Visual";"IV";FALSE;NA;NA;NA
42;"lund1993fig15N2";"";"Monkey";"Prefrontal";"IV";FALSE;NA;NA;NA
43;"";"Vn05302006-1-C";"Mouse";"Somatosensory";"not reported";FALSE;"Yuste";"Somatostatin (SOM) containing cell";"Two-photon photostimulation and imaging of neural circuits"
44;"";"2001-11-13-A-L23-dendax";"Rat";"Somatosensory";"II/III";FALSE;"Helmstaedter";"Not reported";"The relation between dendritic geometry, electrical excitability, and axonal projections of L2/3 Interneurons in rat barrel cortex."
45;"lund1993fig19N2";"";"Monkey";"Prefrontal";"III";FALSE;NA;NA;NA
46;"lund1991fig3N2";"";"Monkey";"Visual";"IV";FALSE;NA;NA;NA
47;"";"10-04-01-4doubleBouquet";"Monkey";"Prefrontal";"II/III";FALSE;"Gonzalez-Burgos";"Double bouquet cell";"Cluster analysis-based physiological classification and morphological properties of inhibitory neurons in layers 2-3 of monkey dorsolateral prefrontal cortex"
