"","annotator","neuron","F1","F2","F3","F4","F5","F6","other"
"1","17","1","intralaminar","intracolumnar","centered","None","neurogliaform","characterized",""
"2","17","2","translaminar","intracolumnar","displaced","descending","chandelier","characterized",""
"3","17","3","translaminar","intracolumnar","displaced","ascending","Martinotti","characterized",""
"4","17","4","translaminar","intracolumnar","centered","None","common basket","characterized",""
"5","17","5","translaminar","transcolumnar","displaced","descending","large basket","characterized",""
"6","17","6","intralaminar","intracolumnar","centered","None","neurogliaform","characterized",""
"7","17","7","translaminar","intracolumnar","centered","None","large basket","characterized",""
"8","17","8","translaminar","transcolumnar","displaced","ascending","Martinotti","characterized",""
"9","17","9","translaminar","transcolumnar","displaced","descending","large basket","characterized",""
"10","17","10","translaminar","intracolumnar","displaced","descending","horse-tail","characterized",""
"11","17","11","translaminar","transcolumnar","displaced","descending","large basket","characterized",""
"12","17","12","translaminar","transcolumnar","displaced","descending","large basket","characterized",""
"13","17","13","translaminar","transcolumnar","centered","None","large basket","characterized",""
"14","17","14","translaminar","intracolumnar","displaced","both","common basket","characterized",""
"15","17","15","intralaminar","intracolumnar","displaced","None","common basket","characterized",""
"16","17","16","intralaminar","intracolumnar","centered","None","common basket","characterized",""
"17","17","17","translaminar","transcolumnar","displaced","both","Martinotti","characterized",""
"18","17","18","translaminar","intracolumnar","displaced","descending","common type","characterized",""
"19","17","19","translaminar","transcolumnar","displaced","both","large basket","characterized",""
"20","17","20","translaminar","transcolumnar","displaced","both","Martinotti","characterized",""
"21","17","21","translaminar","intracolumnar","centered","None","large basket","characterized",""
"22","17","22","translaminar","intracolumnar","displaced","descending","common basket","characterized",""
"23","17","23","translaminar","intracolumnar","centered","None","common basket","characterized",""
"24","17","24","intralaminar","transcolumnar","centered","None","large basket","characterized",""
"25","17","25","translaminar","intracolumnar","displaced","descending","common basket","characterized",""
"26","17","26","translaminar","transcolumnar","centered","None","large basket","characterized",""
"27","17","27","intralaminar","intracolumnar","centered","None","chandelier","characterized",""
